#Standard Solar Model (BP2004)
#
#astro-ph/0402114
#
#Columns in the Standard Model table (below) represent:
#
#1)  Mass fraction in units of the solar mass
#2)  Radius of the zone in units of one solar radius
#3)  Temperature in units of deg (K)
#4)  Density in units of g/cm^3
#5)  Pressure in units of dyn/cm^2
#6)  Luminosity fraction in units of the solar luminosity
#7)  X(^1H): the hydrogen mass fraction
#8)  X(^4He): the helium 4 mass fraction
#9)  X(^3He): the helium 3 mass fraction
#10) X(^12C): the carbon 12 mass fraction
#11) X(^14N): the nitrogen 14 mass fraction
#12) X(^16O): the oxygen 16 mass fraction
#
# Lsun 3.8418E+33
# Rsun 6.9598E+10
# The Table begins here.
#
#
#  M/Msun    R/Rsun      T         Rho        P        L/Lsun      X        Y        He3      C12       N14       O16
 0.0000298  0.00649  1.570e+07  1.531e+02  2.351e+17  0.00027  0.33984  0.64034  7.30e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000312  0.00659  1.570e+07  1.531e+02  2.350e+17  0.00028  0.33989  0.64030  7.30e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000326  0.00670  1.570e+07  1.531e+02  2.350e+17  0.00029  0.33993  0.64026  7.31e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000342  0.00680  1.570e+07  1.531e+02  2.350e+17  0.00031  0.33997  0.64021  7.31e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000358  0.00690  1.570e+07  1.531e+02  2.350e+17  0.00032  0.34002  0.64017  7.31e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000374  0.00701  1.570e+07  1.531e+02  2.350e+17  0.00034  0.34007  0.64012  7.32e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000392  0.00712  1.570e+07  1.530e+02  2.349e+17  0.00035  0.34012  0.64007  7.32e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000410  0.00723  1.570e+07  1.530e+02  2.349e+17  0.00037  0.34017  0.64002  7.32e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000429  0.00734  1.570e+07  1.530e+02  2.349e+17  0.00038  0.34022  0.63997  7.33e-06  2.41e-05  5.47e-03  8.65e-03  
 0.0000449  0.00745  1.570e+07  1.530e+02  2.349e+17  0.00040  0.34028  0.63991  7.33e-06  2.41e-05  5.47e-03  8.65e-03  
