fluxes in each bin for five solar models
AGSS09 AGSS09ph GS98 AGS05 JaviRed
2.12358e+20 2.12313e+20 2.16668e+20 2.11266e+20 2.09569e+20
2.4853e+20 2.50542e+20 2.61542e+20 2.45519e+20 2.53018e+20
1.52134e+20 1.53592e+20 1.62802e+20 1.50182e+20 1.57856e+20
8.09597e+19 8.20206e+19 8.75023e+19 7.92457e+19 8.50375e+19
4.08669e+19 4.15461e+19 4.44925e+19 4.00101e+19 4.3305e+19
2.13812e+19 2.18329e+19 2.34016e+19 2.09284e+19 2.28304e+19
1.78983e+19 1.90827e+19 2.0101e+19 1.76214e+19 1.97849e+19
7.77564e+18 8.159e+18 8.67117e+18 7.63235e+18 8.51586e+18
4.74839e+18 5.05048e+18 5.34623e+18 4.66787e+18 5.26771e+18
2.5228e+18 2.68047e+18 2.84868e+18 2.47716e+18 2.81129e+18
1.33496e+18 1.41708e+18 1.51057e+18 1.30965e+18 1.49229e+18
7.11411e+17 7.54714e+17 8.06978e+17 6.97304e+17 7.97986e+17
