fluxes in each bin for four opacity codes
OP OPAS LEDCOP ATOMIC
2.12303e+20 3.69859e+20 1.94363e+20 1.94168e+20
2.48523e+20 2.03963e+20 2.41588e+20 2.44477e+20
1.52133e+20 1.51128e+20 1.59486e+20 1.5766e+20
8.09747e+19 8.36836e+19 8.79195e+19 8.61155e+19
4.0877e+19 4.1803e+19 4.55483e+19 4.45351e+19
2.13815e+19 2.11725e+19 2.40275e+19 2.36829e+19
1.79079e+19 2.03786e+19 1.50942e+19 1.94362e+19
7.7798e+18 8.16452e+18 7.43224e+18 8.8109e+18
4.74958e+18 4.79834e+18 4.85943e+18 5.41346e+18
2.52281e+18 2.58163e+18 2.83536e+18 2.97222e+18
1.33496e+18 1.35562e+18 1.54675e+18 1.60012e+18
7.11411e+17 7.16776e+17 8.36349e+17 8.61791e+17
